frame,id,xtl,ytl,xbr,ybr,label,complexity
25,0,391.85,494.74,1448.43,817.11,dress,1
26,0,391.85,494.66,1448.84,817.11,dress,1
27,0,391.85,494.57,1449.25,817.11,dress,1
28,0,391.85,494.49,1449.66,817.11,dress,1
29,0,391.85,494.40,1450.07,817.11,dress,1
30,0,391.85,494.32,1450.48,817.11,dress,1
31,0,391.85,494.23,1450.89,817.11,dress,1
32,0,391.85,494.14,1451.30,817.11,dress,1
33,0,391.85,494.06,1451.71,817.11,dress,1
34,0,391.85,493.97,1452.12,817.11,dress,1
35,0,391.85,493.89,1452.52,817.11,dress,1
36,0,391.85,493.80,1452.93,817.11,dress,1
37,0,391.85,493.72,1453.34,817.11,dress,1
38,0,391.85,493.63,1453.75,817.11,dress,1
39,0,391.85,493.54,1454.16,817.11,dress,1
40,0,391.85,493.46,1454.57,817.11,dress,1
41,0,391.85,493.37,1454.98,817.11,dress,1
42,0,391.85,493.29,1455.39,817.11,dress,1
43,0,391.85,493.20,1455.80,817.11,dress,1
44,0,391.85,493.12,1456.21,817.11,dress,1
45,0,391.85,493.03,1456.62,817.11,dress,1
46,0,391.85,492.94,1457.03,817.11,dress,1
47,0,391.85,492.86,1457.44,817.11,dress,1
48,0,391.85,492.77,1457.84,817.11,dress,1
49,0,391.85,492.69,1458.25,817.11,dress,1
50,0,391.85,492.60,1458.66,817.11,dress,1
51,0,391.85,492.52,1459.07,817.11,dress,1
52,0,391.85,492.43,1459.48,817.11,dress,1
53,0,391.85,492.34,1459.89,817.11,dress,1
54,0,391.85,492.26,1460.30,817.11,dress,1
55,0,391.85,492.17,1461.24,817.11,dress,1
56,0,391.85,492.09,1462.19,817.11,dress,1
57,0,391.85,492.00,1463.13,817.11,dress,1
58,0,391.85,491.91,1464.08,817.11,dress,1
59,0,391.85,491.83,1465.02,817.11,dress,1
60,0,391.85,491.74,1465.97,817.11,dress,1
61,0,391.85,491.66,1466.91,817.11,dress,1
62,0,391.85,491.57,1467.86,817.11,dress,1
63,0,391.85,491.49,1468.80,817.11,dress,1
64,0,391.85,491.40,1468.58,817.11,dress,1
65,0,391.85,491.31,1468.35,817.11,dress,1
66,0,391.85,491.23,1468.13,817.11,dress,1
67,0,391.85,491.14,1467.90,817.11,dress,1
68,0,391.85,491.06,1469.83,817.11,dress,1
69,0,391.85,490.97,1471.77,817.11,dress,1
70,0,391.85,490.89,1473.70,817.11,dress,1
71,0,391.85,490.80,1472.50,817.11,dress,1
