frame,id,xtl,ytl,xbr,ybr,label,complexity
0,0,1094.30,208.90,1601.20,750.50,jacket,0.25
1,0,1078.20,212.30,1607.40,758.50,jacket,0.25
2,0,1064.30,214.10,1612.80,763.00,jacket,0.25
3,0,1051.70,215.80,1610.60,767.50,jacket,0.25
4,0,1036.50,216.60,1599.00,767.50,jacket,0.25
5,0,1024.50,217.20,1586.00,769.00,jacket,0.25
6,0,1010.20,218.20,1568.10,769.00,jacket,0.25
7,0,999.00,218.20,1547.40,769.00,jacket,0.25
8,0,991.50,219.40,1531.50,769.00,jacket,0.25
9,0,983.80,219.10,1516.30,769.00,jacket,0.25
10,0,975.60,218.20,1507.40,769.00,jacket,0.25
11,0,969.70,216.60,1499.20,769.00,jacket,0.25
12,0,963.10,214.80,1494.70,769.00,jacket,0.25
13,0,958.80,214.20,1496.50,769.00,jacket,0.25
14,0,954.00,213.30,1498.70,769.00,jacket,0.25
15,0,950.50,212.40,1506.10,769.00,jacket,0.25
16,0,948.10,212.40,1506.10,769.00,jacket,0.25
17,0,947.40,212.10,1506.10,769.00,jacket,0.25
18,0,947.40,209.10,1506.10,769.00,jacket,0.25
0,1,388.40,313.83,658.50,668.30,t-shirt,0.25
1,1,388.40,315.60,656.70,672.80,t-shirt,0.25
2,1,390.30,320.80,651.50,673.10,t-shirt,0.25
3,1,389.90,324.50,650.00,675.00,t-shirt,0.25
4,1,389.20,327.60,645.70,677.70,t-shirt,0.25
5,1,389.20,328.30,642.00,677.70,t-shirt,0.25
6,1,389.20,329.00,641.65,677.70,t-shirt,0.25
7,1,389.20,330.50,641.30,677.70,t-shirt,0.25
8,1,389.20,331.10,640.10,677.70,t-shirt,0.25
9,1,389.20,331.10,635.60,677.70,t-shirt,0.25
10,1,387.30,331.10,631.60,676.30,t-shirt,0.25
11,1,391.00,331.10,630.10,677.70,t-shirt,0.25
12,1,388.00,329.30,625.60,674.50,t-shirt,0.25
13,1,388.60,328.50,623.10,672.10,t-shirt,0.25
14,1,386.70,327.90,622.60,672.10,t-shirt,0.25
15,1,385.80,326.20,620.20,671.40,t-shirt,0.25
16,1,387.30,325.10,614.80,668.40,t-shirt,0.25
17,1,388.90,325.40,612.90,667.10,t-shirt,0.25
18,1,388.90,325.40,612.90,667.10,t-shirt,0.25
0,2,967.70,568.91,1143.29,942.50,trouser,0.25
1,2,967.70,572.60,1141.20,943.69,trouser,0.25
2,2,968.30,576.40,1142.10,944.40,trouser,0.25
3,2,969.00,577.70,1136.30,947.80,trouser,0.25
4,2,970.50,578.80,1141.10,949.50,trouser,0.25
5,2,969.60,580.70,1140.00,951.00,trouser,0.25
6,2,969.00,582.00,1140.10,951.20,trouser,0.25
7,2,968.00,585.30,1138.80,951.20,trouser,0.25
8,2,967.80,590.20,1137.80,951.20,trouser,0.25
9,2,966.60,590.90,1136.90,951.20,trouser,0.25
10,2,965.30,590.80,1135.50,951.20,trouser,0.25
11,2,963.30,589.50,1133.50,951.20,trouser,0.25
12,2,962.20,587.30,1132.60,950.25,trouser,0.25
13,2,961.10,585.10,1131.70,949.30,trouser,0.25
14,2,960.50,583.80,1130.60,948.10,trouser,0.25
15,2,960.60,583.30,1131.40,946.40,trouser,0.25
16,2,960.30,583.20,1130.40,946.30,trouser,0.25
17,2,959.70,583.20,1130.40,946.30,trouser,0.25
18,2,960.60,580.10,1111.70,946.30,trouser,0.25
0,3,978.50,409.79,1145.20,576.83,t-shirt,0.25
1,3,977.74,414.20,1134.20,579.50,t-shirt,0.25
2,3,977.74,417.80,1120.80,579.50,t-shirt,0.25
3,3,977.74,420.80,1118.10,581.00,t-shirt,0.25
4,3,977.74,420.80,1077.00,581.00,t-shirt,0.25
0,4,578.90,469.75,884.50,916.28,jacket,0.25
1,4,579.20,475.10,885.10,921.60,jacket,0.25
2,4,579.30,478.10,885.10,924.60,jacket,0.25
3,4,580.10,480.80,885.50,926.67,jacket,0.25
4,4,580.30,484.30,886.10,928.80,jacket,0.25
5,4,580.30,486.70,886.10,931.30,jacket,0.25
6,4,580.30,489.10,885.50,932.55,jacket,0.25
7,4,579.30,493.70,884.90,933.80,jacket,0.25
8,4,579.20,496.90,884.90,935.90,jacket,0.25
9,4,578.30,496.90,883.50,935.90,jacket,0.25
10,4,576.90,496.00,882.40,935.90,jacket,0.25
11,4,576.10,494.30,881.20,933.70,jacket,0.25
12,4,575.10,492.70,880.70,933.70,jacket,0.25
13,4,573.50,491.50,878.80,931.80,jacket,0.25
14,4,572.90,490.80,878.00,932.50,jacket,0.25
15,4,572.10,489.80,877.60,930.70,jacket,0.25
16,4,569.80,488.30,877.10,930.70,jacket,0.25
17,4,569.00,487.80,876.20,930.70,jacket,0.25
18,4,580.60,519.80,876.20,930.70,jacket,0.25
0,5,106.90,414.30,371.10,679.70,t-shirt,0.25
1,5,107.30,418.00,370.80,684.00,t-shirt,0.25
2,5,107.20,421.10,370.80,686.20,t-shirt,0.25
3,5,107.20,422.90,370.20,688.90,t-shirt,0.25
4,5,107.20,425.30,370.30,690.40,t-shirt,0.25
5,5,106.20,426.50,369.60,692.10,t-shirt,0.25
6,5,105.60,427.80,369.00,692.90,t-shirt,0.25
7,5,104.45,427.60,368.50,692.90,t-shirt,0.25
8,5,103.30,428.00,366.70,694.10,t-shirt,0.25
9,5,102.10,427.40,366.10,692.80,t-shirt,0.25
10,5,100.60,426.50,364.60,691.20,t-shirt,0.25
11,5,98.70,424.90,362.60,689.10,t-shirt,0.25
12,5,97.00,422.20,362.00,687.90,t-shirt,0.25
13,5,96.10,419.40,361.50,685.60,t-shirt,0.25
14,5,95.10,419.40,361.50,684.70,t-shirt,0.25
15,5,94.40,419.50,360.80,684.30,t-shirt,0.25
16,5,93.20,418.70,360.20,683.60,t-shirt,0.25
17,5,93.30,417.60,358.70,683.50,t-shirt,0.25
18,5,92.20,415.10,359.30,672.40,t-shirt,0.25
0,6,1153.90,743.99,1460.60,1080.00,trouser,0.75
1,6,1147.50,743.99,1455.40,1080.00,trouser,0.75
2,6,1140.30,743.99,1451.60,1080.00,trouser,0.75
3,6,1131.40,743.99,1445.70,1080.00,trouser,0.75
4,6,1123.20,746.20,1434.50,1080.00,trouser,0.75
5,6,1115.70,746.20,1424.70,1080.00,trouser,0.75
6,6,1107.70,749.80,1414.90,1080.00,trouser,0.75
7,6,1100.60,749.80,1409.70,1080.00,trouser,0.75
8,6,1094.70,754.30,1403.50,1080.00,trouser,0.75
9,6,1087.60,754.30,1398.10,1080.00,trouser,0.75
10,6,1084.60,752.10,1386.90,1080.00,trouser,0.75
11,6,1079.40,752.10,1381.70,1080.00,trouser,0.75
12,6,1074.20,752.10,1379.60,1080.00,trouser,0.75
13,6,1071.50,752.10,1377.50,1080.00,trouser,0.75
14,6,1066.30,752.10,1369.30,1080.00,trouser,0.75
15,6,1064.80,752.10,1367.80,1080.00,trouser,0.75
16,6,1062.10,752.10,1367.80,1080.00,trouser,0.75
17,6,1062.10,752.10,1366.90,1080.00,trouser,0.75
18,6,1062.10,752.10,1366.90,1080.00,trouser,0.75
0,7,437.97,631.40,613.54,971.60,trouser,0.75
1,7,438.48,636.30,611.47,976.30,trouser,0.75
2,7,439.00,638.60,609.40,978.70,trouser,0.75
3,7,438.40,641.00,609.00,981.50,trouser,0.75
4,7,436.90,643.60,607.00,983.70,trouser,0.75
5,7,433.80,644.60,605.80,984.90,trouser,0.75
6,7,432.33,645.80,603.53,985.80,trouser,0.75
7,7,430.87,646.60,601.27,986.90,trouser,0.75
8,7,429.40,647.30,599.00,988.00,trouser,0.75
9,7,424.80,646.70,597.10,987.50,trouser,0.75
10,7,419.60,645.80,595.90,986.40,trouser,0.75
11,7,417.80,644.10,597.50,984.50,trouser,0.75
12,7,414.60,642.20,598.50,982.80,trouser,0.75
13,7,413.30,640.40,599.20,980.60,trouser,0.75
14,7,413.30,640.70,599.80,980.80,trouser,0.75
15,7,413.30,640.00,600.50,980.20,trouser,0.75
16,7,413.30,640.00,603.00,980.10,trouser,0.75
17,7,412.10,640.20,605.10,980.20,trouser,0.75
18,7,412.10,644.80,605.70,845.10,trouser,0.75
52,8,847.74,628.90,1724.80,1080.00,jacket,0.75
53,8,852.11,631.53,1727.54,1080.00,jacket,0.75
54,8,856.49,634.17,1730.29,1080.00,jacket,0.75
55,8,860.86,636.80,1733.03,1080.00,jacket,0.75
56,8,865.23,641.03,1735.77,1080.00,jacket,0.75
57,8,869.61,645.27,1738.52,1080.00,jacket,0.75
58,8,873.98,649.50,1741.26,1080.00,jacket,0.75
59,8,878.35,653.73,1744.01,1080.00,jacket,0.75
60,8,882.73,657.97,1746.75,1080.00,jacket,0.75
61,8,887.10,662.20,1749.49,1080.00,jacket,0.75
62,8,888.74,661.45,1752.24,1080.00,jacket,0.75
63,8,890.39,660.70,1754.98,1080.00,jacket,0.75
64,8,892.03,661.43,1757.73,1080.00,jacket,0.75
65,8,893.67,662.17,1760.47,1080.00,jacket,0.75
66,8,895.31,662.90,1763.21,1080.00,jacket,0.75
67,8,896.96,665.15,1765.96,1080.00,jacket,0.75
68,8,898.60,667.40,1768.70,1080.00,jacket,0.75
69,8,898.60,667.40,1768.70,1080.00,jacket,0.75
52,9,0.00,410.79,539.10,1080.00,t-shirt,0.75
53,9,0.00,412.14,542.38,1080.00,t-shirt,0.75
54,9,0.00,413.49,545.65,1080.00,t-shirt,0.75
55,9,0.00,414.84,548.93,1080.00,t-shirt,0.75
56,9,0.00,416.19,552.20,1080.00,t-shirt,0.75
57,9,0.00,417.54,555.48,1080.00,t-shirt,0.75
58,9,0.00,418.89,558.75,1080.00,t-shirt,0.75
59,9,0.00,420.24,562.03,1080.00,t-shirt,0.75
60,9,0.00,421.59,565.30,1080.00,t-shirt,0.75
61,9,0.00,422.95,568.58,1080.00,t-shirt,0.75
62,9,0.00,424.30,571.85,1080.00,t-shirt,0.75
63,9,0.00,425.65,575.13,1080.00,t-shirt,0.75
