frame,id,xtl,ytl,xbr,ybr,label,complexity
45,0,219.70,404.80,869.90,1080.00,jacket,0.75
46,0,215.10,407.90,868.60,1080.00,jacket,0.75
47,0,215.10,405.00,869.00,1080.00,jacket,0.75
48,0,215.10,407.70,870.80,1080.00,jacket,0.75
49,0,215.10,403.90,870.80,1080.00,jacket,0.75
50,0,209.30,403.90,872.10,1080.00,jacket,0.75
51,0,203.50,405.80,872.10,1080.00,jacket,0.75
52,0,201.57,402.60,869.50,1080.00,jacket,0.75
53,0,199.63,400.80,870.80,1080.00,jacket,0.75
54,0,197.70,404.50,870.80,1080.00,jacket,0.75
55,0,197.70,404.00,870.80,1080.00,jacket,0.75
56,0,197.70,410.30,870.80,1080.00,jacket,0.75
57,0,197.70,412.90,869.90,1080.00,jacket,0.75
58,0,197.70,419.30,873.70,1080.00,jacket,0.75
59,0,197.70,420.20,868.20,1080.00,jacket,0.75
60,0,197.70,418.00,873.40,1080.00,jacket,0.75
61,0,197.70,420.50,871.90,1080.00,jacket,0.75
62,0,197.70,418.10,878.40,1080.00,jacket,0.75
63,0,197.70,418.80,883.56,1080.00,jacket,0.75
64,0,197.70,417.30,884.72,1080.00,jacket,0.75
65,0,197.70,417.40,879.20,1080.00,jacket,0.75
66,0,197.70,420.40,887.04,1080.00,jacket,0.75
67,0,189.99,420.20,876.60,1074.22,jacket,0.75
68,0,193.84,419.40,895.90,1077.11,jacket,0.75
69,0,197.70,420.50,897.80,1080.00,jacket,0.75
70,0,198.17,419.10,897.80,1080.00,jacket,0.75
71,0,198.65,424.20,897.80,1080.00,jacket,0.75
72,0,199.12,422.70,897.80,1080.00,jacket,0.75
73,0,197.70,422.40,886.20,1080.00,jacket,0.75
74,0,199.34,424.00,887.17,1080.00,jacket,0.75
75,0,201.00,426.40,899.70,1080.00,jacket,0.75
76,0,204.70,424.20,898.36,1080.00,jacket,0.75
77,0,200.90,424.30,883.60,1080.00,jacket,0.75
78,0,205.60,421.70,895.68,1080.00,jacket,0.75
79,0,202.60,423.40,877.60,1080.00,jacket,0.75
80,0,209.20,417.40,893.00,1080.00,jacket,0.75
81,0,209.10,418.40,882.00,1080.00,jacket,0.75
82,0,210.90,413.60,878.40,1080.00,jacket,0.75
83,0,212.90,411.70,877.10,1080.00,jacket,0.75
84,0,211.40,412.00,873.30,1080.00,jacket,0.75
85,0,213.20,413.00,874.00,1080.00,jacket,0.75
86,0,215.00,415.50,877.70,1080.00,jacket,0.75
87,0,211.20,415.50,882.40,1080.00,jacket,0.75
88,0,213.10,417.20,874.50,1080.00,jacket,0.75
89,0,216.70,416.30,874.80,1080.00,jacket,0.75
90,0,218.10,418.50,871.60,1080.00,jacket,0.75
91,0,216.70,419.10,873.60,1080.00,jacket,0.75
92,0,217.50,415.40,872.20,1080.00,jacket,0.75
93,0,221.30,418.30,871.30,1080.00,jacket,0.75
94,0,221.70,422.30,888.20,1080.00,jacket,0.75
95,0,432.80,287.00,888.20,1022.20,jacket,0.75
96,0,432.80,287.00,888.20,1022.20,jacket,0.75
97,0,437.60,287.00,888.20,1028.60,jacket,0.75
113,0,432.80,287.00,877.00,1028.60,jacket,0.75
114,0,432.80,287.32,877.00,1030.20,jacket,0.75
118,0,432.80,288.60,877.00,1036.60,jacket,0.75
127,0,424.80,306.30,877.00,1036.60,jacket,0.75
138,0,418.40,301.50,867.40,1036.60,jacket,0.75
143,0,418.40,293.50,870.60,1027.00,jacket,0.75
146,0,423.20,298.30,875.40,1027.00,jacket,0.75
148,0,423.20,298.30,878.60,1027.00,jacket,0.75
150,0,429.60,298.30,880.20,1027.00,jacket,0.75
152,0,434.40,298.30,880.20,1027.00,jacket,0.75
153,0,434.40,298.30,883.40,1030.20,jacket,0.75
154,0,439.20,295.10,883.40,1025.40,jacket,0.75
155,0,439.20,295.10,885.00,1025.40,jacket,0.75
157,0,440.80,295.10,886.60,1025.40,jacket,0.75
158,0,442.40,295.10,881.80,1025.40,jacket,0.75
159,0,442.40,295.10,883.40,1025.40,jacket,0.75
160,0,442.40,298.30,885.00,1025.40,jacket,0.75
161,0,444.00,298.30,885.00,1025.40,jacket,0.75
