frame,id,xtl,ytl,xbr,ybr,label,complexity
62,0,706.10,0.00,1526.10,994.80,dress,0.75
63,0,722.10,0.00,1543.20,1002.70,dress,0.75
64,0,741.70,0.00,1555.80,993.60,dress,0.75
65,0,758.20,0.00,1577.00,979.60,dress,0.75
66,0,781.20,0.00,1583.20,969.30,dress,0.75
67,0,804.70,0.00,1591.50,967.40,dress,0.75
68,0,820.10,0.00,1651.20,957.90,dress,0.75
69,0,828.80,0.00,1713.00,933.00,dress,0.75
70,0,831.40,0.00,1768.20,908.10,dress,0.75
71,0,838.00,0.00,1794.50,887.00,dress,0.75
72,0,847.70,0.00,1837.80,883.20,dress,0.75
73,0,856.10,0.00,1891.00,874.60,dress,0.75
74,0,858.00,0.00,1919.50,874.60,dress,0.75
75,0,853.50,0.00,1919.50,877.80,dress,0.75
76,0,849.30,0.00,1919.50,901.50,dress,0.75
77,0,852.50,0.00,1919.50,918.20,dress,0.75
78,0,859.20,0.00,1919.50,926.50,dress,0.75
79,0,866.80,0.00,1919.50,937.70,dress,0.75
80,0,867.10,0.20,1902.40,947.50,dress,0.75
81,0,867.20,0.00,1862.50,947.50,dress,0.75
82,0,867.30,0.00,1830.50,954.00,dress,0.75
83,0,867.40,0.00,1796.20,971.70,dress,0.75
84,0,871.50,0.00,1761.20,996.10,dress,0.75
85,0,878.60,0.00,1727.40,1001.90,dress,0.75
86,0,873.10,0.00,1688.80,1001.40,dress,0.75
87,0,859.10,0.00,1647.20,990.50,dress,0.75
88,0,857.70,0.00,1612.90,954.30,dress,0.75
89,0,857.70,0.00,1585.80,923.20,dress,0.75
90,0,822.20,0.00,1571.70,906.80,dress,0.75
91,0,786.70,0.00,1578.60,877.70,dress,0.75
92,0,752.70,0.00,1588.50,874.70,dress,0.75
93,0,716.30,0.00,1591.10,894.20,dress,0.75
94,0,671.60,0.00,1591.80,946.10,dress,0.75
95,0,627.50,0.00,1581.70,973.00,dress,0.75
96,0,597.30,0.00,1567.50,972.90,dress,0.75
97,0,588.20,0.00,1546.50,988.30,dress,0.75
98,0,597.30,0.00,1520.60,988.70,dress,0.75
99,0,619.90,0.00,1484.70,985.70,dress,0.75
100,0,651.80,0.00,1451.00,987.10,dress,0.75
101,0,714.70,0.00,1414.60,981.80,dress,0.75
102,0,759.30,0.00,1380.00,973.40,dress,0.75
103,0,742.60,0.00,1363.00,964.20,dress,0.75
104,0,725.30,0.00,1353.10,949.80,dress,0.75
105,0,727.10,0.00,1345.40,945.40,dress,0.75
106,0,743.90,0.00,1329.80,977.40,dress,0.75
107,0,774.60,0.00,1369.00,993.40,dress,0.75
108,0,813.50,0.00,1401.10,1004.00,dress,0.75
109,0,798.50,0.00,1438.30,1014.80,dress,0.75
110,0,743.60,0.00,1475.70,1045.00,dress,0.75
111,0,742.10,2.64,1474.80,1046.20,dress,0.75
177,1,924.20,225.50,1561.40,1005.30,dress,0.75
178,1,924.10,251.40,1576.90,1044.90,dress,0.75
179,1,919.60,275.90,1593.20,1080.00,dress,0.75
180,1,917.10,294.30,1607.70,1080.00,dress,0.75
181,1,916.10,311.80,1623.50,1080.00,dress,0.75
182,1,913.50,340.70,1640.30,1080.00,dress,0.75
183,1,908.20,371.00,1658.40,1080.00,dress,0.75
184,1,907.70,393.40,1674.60,1080.00,dress,0.75
185,1,907.40,413.10,1691.90,1080.00,dress,0.75
186,1,902.30,440.70,1709.00,1080.00,dress,0.75
187,1,899.50,464.40,1688.10,1080.00,dress,0.75
188,1,898.20,478.90,1616.00,1080.00,dress,0.75
189,1,895.80,503.40,1544.10,1080.00,dress,0.75
190,1,891.00,518.20,1487.20,1080.00,dress,0.75
191,1,889.00,536.00,1443.10,1080.00,dress,0.75
192,1,887.50,548.10,1447.10,1080.00,dress,0.75
193,1,890.20,557.50,1461.30,1080.00,dress,0.75
194,1,889.50,573.10,1471.90,1080.00,dress,0.75
195,1,889.70,579.50,1486.30,1080.00,dress,0.75
196,1,892.90,584.90,1499.80,1080.00,dress,0.75
197,1,895.30,590.50,1518.10,1080.00,dress,0.75
198,1,906.50,595.20,1536.20,1080.00,dress,0.75
199,1,919.40,603.30,1548.00,1080.00,dress,0.75
200,1,933.00,611.20,1561.20,1080.00,dress,0.75
201,1,940.40,613.80,1582.80,1080.00,dress,0.75
202,1,947.70,614.90,1611.00,1080.00,dress,0.75
203,1,955.80,617.00,1636.40,1080.00,dress,0.75
204,1,965.20,619.60,1654.80,1080.00,dress,0.75
205,1,973.80,618.90,1678.50,1080.00,dress,0.75
206,1,980.40,617.50,1702.20,1080.00,dress,0.75
207,1,984.70,617.50,1721.90,1080.00,dress,0.75
208,1,996.10,617.50,1735.50,1080.00,dress,0.75
209,1,999.20,614.50,1748.30,1080.00,dress,0.75
210,1,985.10,622.20,1745.50,1080.00,dress,0.75
210,2,623.43,0.00,1383.90,1080.00,trouser,0.75
211,2,625.40,0.00,1372.90,1080.00,trouser,0.75
212,2,614.70,0.00,1360.30,1080.00,trouser,0.75
213,2,605.20,0.00,1355.60,1080.00,trouser,0.75
214,2,597.80,0.00,1364.00,1080.00,trouser,0.75
215,2,587.90,0.00,1378.20,1080.00,trouser,0.75
216,2,579.30,55.50,1383.40,1080.00,trouser,0.75
217,2,568.80,104.90,1431.40,1080.00,trouser,0.75
218,2,560.10,175.10,1480.40,1080.00,trouser,0.75
219,2,550.20,238.40,1520.80,1080.00,trouser,0.75
220,2,547.30,291.00,1540.50,1080.00,trouser,0.75
221,2,543.00,327.70,1542.10,1080.00,trouser,0.75
222,2,546.10,354.10,1542.70,1080.00,trouser,0.75
223,2,556.20,365.50,1551.70,1080.00,trouser,0.75
224,2,568.20,371.60,1573.80,1080.00,trouser,0.75
225,2,564.30,430.20,1573.40,1077.60,trouser,0.75
217,3,626.60,0.00,1210.27,225.30,t-shirt,0.75
218,3,615.40,0.00,1203.90,298.90,t-shirt,0.75
219,3,555.50,0.00,1195.80,366.90,t-shirt,0.75
220,3,548.60,0.00,1285.50,433.50,t-shirt,0.75
221,3,555.50,0.00,1277.60,481.70,t-shirt,0.75
222,3,560.30,0.00,1275.00,509.20,t-shirt,0.75
223,3,566.30,0.00,1281.30,531.60,t-shirt,0.75
224,3,565.50,0.00,1287.90,559.20,t-shirt,0.75
225,3,564.20,2.64,1287.90,555.30,t-shirt,0.75
225,4,576.40,387.20,1127.38,1017.50,t-shirt,0.50
226,4,583.50,388.70,1128.10,1023.20,t-shirt,0.50
227,4,589.30,392.30,1129.50,1027.10,t-shirt,0.50
228,4,595.00,394.70,1131.90,1031.60,t-shirt,0.50
229,4,602.40,394.70,1132.60,1038.10,t-shirt,0.50
230,4,608.50,395.90,1133.20,1044.00,t-shirt,0.50
231,4,622.70,403.30,1137.10,1051.30,t-shirt,0.50
232,4,640.30,407.80,1143.10,1059.60,t-shirt,0.50
233,4,661.20,406.00,1153.10,1065.40,t-shirt,0.50
234,4,680.70,403.30,1161.40,1065.40,t-shirt,0.50
