frame,id,xtl,ytl,xbr,ybr,label,complexity
54,0,1245.11,340.50,1515.27,606.90,t-shirt,0.25
55,0,1235.90,338.60,1507.90,606.90,t-shirt,0.25
56,0,1235.90,336.80,1494.90,601.30,t-shirt,0.25
57,0,1235.90,333.10,1494.90,597.60,t-shirt,0.25
58,0,1243.30,323.90,1480.10,597.60,t-shirt,0.25
59,0,1256.30,322.00,1472.70,599.40,t-shirt,0.25
60,0,1256.30,320.10,1467.15,606.80,t-shirt,0.25
61,0,1256.30,314.50,1461.60,614.20,t-shirt,0.25
62,0,1252.60,309.00,1446.80,614.20,t-shirt,0.25
63,0,1252.60,305.30,1446.80,610.50,t-shirt,0.25
64,0,1243.30,307.10,1439.40,610.50,t-shirt,0.25
65,0,1243.30,305.30,1439.40,616.10,t-shirt,0.25
66,0,1234.10,301.60,1428.30,616.10,t-shirt,0.25
67,0,1224.80,305.30,1419.00,616.10,t-shirt,0.25
68,0,1224.80,301.50,1411.50,606.80,t-shirt,0.25
69,0,1213.70,299.70,1402.20,606.80,t-shirt,0.25
70,0,1202.60,286.70,1391.10,601.20,t-shirt,0.25
71,0,1197.80,301.50,1388.50,600.40,t-shirt,0.25
72,0,1184.90,300.50,1381.45,601.00,t-shirt,0.25
73,0,1169.50,302.00,1374.40,599.10,t-shirt,0.25
74,0,1152.80,307.60,1368.00,599.10,t-shirt,0.25
75,0,1137.50,310.50,1360.30,609.40,t-shirt,0.25
76,0,1118.20,318.90,1356.40,609.40,t-shirt,0.25
77,0,1106.60,322.70,1351.30,617.10,t-shirt,0.25
78,0,1088.60,333.00,1344.90,622.20,t-shirt,0.25
79,0,1074.50,341.30,1342.30,626.00,t-shirt,0.25
80,0,1057.80,348.10,1339.70,633.70,t-shirt,0.25
81,0,1045.00,349.70,1335.80,633.70,t-shirt,0.25
82,0,1038.60,353.60,1329.40,633.70,t-shirt,0.25
83,0,1038.60,353.60,1329.40,633.70,t-shirt,0.25
54,1,1271.02,544.00,1641.09,910.38,trouser,0.50
55,1,1269.17,544.00,1626.30,906.70,trouser,0.50
56,1,1269.17,538.50,1605.90,901.10,trouser,0.50
57,1,1269.17,534.85,1587.40,899.25,trouser,0.50
58,1,1265.50,534.80,1561.50,899.20,trouser,0.50
59,1,1265.50,525.50,1539.30,899.20,trouser,0.50
60,1,1259.95,524.50,1508.75,896.40,trouser,0.50
61,1,1254.40,512.50,1478.20,893.60,trouser,0.50
62,1,1254.40,519.90,1452.30,891.70,trouser,0.50
63,1,1254.40,527.40,1443.00,888.00,trouser,0.50
64,1,1234.00,518.10,1435.60,884.30,trouser,0.50
65,1,1213.60,516.20,1430.00,880.60,trouser,0.50
66,1,1196.90,510.60,1420.70,888.00,trouser,0.50
67,1,1185.80,507.00,1415.10,893.50,trouser,0.50
68,1,1174.60,497.70,1405.90,897.20,trouser,0.50
69,1,1157.90,492.20,1400.40,897.20,trouser,0.50
70,1,1132.00,501.40,1389.30,897.20,trouser,0.50
71,1,1117.90,499.60,1380.00,897.00,trouser,0.50
72,1,1102.50,495.90,1377.40,902.10,trouser,0.50
73,1,1097.40,503.30,1371.00,900.80,trouser,0.50
74,1,1088.40,505.30,1371.00,900.80,trouser,0.50
75,1,1085.80,514.60,1365.90,900.80,trouser,0.50
76,1,1073.10,518.30,1365.90,905.90,trouser,0.50
77,1,1058.80,529.00,1365.90,904.60,trouser,0.50
78,1,1046.00,534.50,1360.80,904.60,trouser,0.50
79,1,1039.60,544.30,1356.90,904.60,trouser,0.50
80,1,1033.20,544.30,1350.50,908.50,trouser,0.50
81,1,1026.80,541.40,1350.50,907.20,trouser,0.50
82,1,1017.80,546.90,1350.50,907.20,trouser,0.50
83,1,1017.80,569.20,1350.50,907.20,trouser,0.50
83,2,0.00,259.80,434.66,720.50,t-shirt,0.25
