frame,id,xtl,ytl,xbr,ybr,label,complexity
63,0,354.00,377.81,1264.10,1080.00,jacket,0.25
64,0,309.20,374.60,1262.60,1080.00,jacket,0.25
65,0,266.60,374.60,1262.60,1080.00,jacket,0.25
66,0,258.60,374.60,1262.60,1080.00,jacket,0.25
67,0,258.60,374.60,1261.07,1080.00,jacket,0.25
68,0,258.60,374.60,1259.53,1080.00,jacket,0.25
69,0,258.60,374.60,1258.00,1080.00,jacket,0.25
70,0,258.60,374.60,1256.10,1080.00,jacket,0.25
71,0,265.00,374.60,1256.10,1080.00,jacket,0.25
72,0,271.40,374.60,1259.40,1080.00,jacket,0.25
73,0,274.60,374.60,1259.40,1080.00,jacket,0.25
74,0,277.80,374.60,1259.40,1080.00,jacket,0.25
75,0,277.80,374.60,1264.20,1080.00,jacket,0.25
76,0,277.80,373.00,1264.20,1080.00,jacket,0.25
77,0,277.80,373.00,1264.52,1080.00,jacket,0.25
78,0,277.80,373.00,1264.84,1080.00,jacket,0.25
79,0,277.80,373.00,1265.16,1080.00,jacket,0.25
80,0,277.80,373.00,1265.48,1080.00,jacket,0.25
81,0,277.80,373.00,1265.80,1080.00,jacket,0.25
82,0,277.80,373.00,1266.12,1080.00,jacket,0.25
83,0,277.80,373.00,1266.44,1080.00,jacket,0.25
84,0,277.80,373.00,1266.76,1080.00,jacket,0.25
85,0,277.80,373.00,1267.08,1080.00,jacket,0.25
86,0,277.80,373.00,1267.40,1080.00,jacket,0.25
87,0,278.00,373.00,1267.40,1080.00,jacket,0.25
88,0,278.20,373.00,1267.40,1080.00,jacket,0.25
89,0,278.40,373.00,1267.40,1080.00,jacket,0.25
90,0,278.60,373.00,1267.40,1080.00,jacket,0.25
91,0,278.80,373.00,1267.40,1080.00,jacket,0.25
92,0,279.00,373.00,1267.40,1080.00,jacket,0.25
93,0,279.20,373.00,1267.40,1080.00,jacket,0.25
94,0,279.40,373.00,1267.40,1080.00,jacket,0.25
95,0,279.40,373.00,1267.28,1080.00,jacket,0.25
96,0,279.40,373.00,1267.15,1080.00,jacket,0.25
97,0,279.40,373.00,1267.03,1080.00,jacket,0.25
98,0,279.40,373.00,1266.91,1080.00,jacket,0.25
99,0,279.40,373.00,1266.78,1080.00,jacket,0.25
100,0,279.40,373.00,1266.66,1080.00,jacket,0.25
101,0,279.40,373.00,1266.54,1080.00,jacket,0.25
102,0,279.40,373.00,1266.42,1080.00,jacket,0.25
103,0,279.40,373.00,1266.29,1080.00,jacket,0.25
104,0,279.40,373.00,1266.17,1080.00,jacket,0.25
105,0,279.40,373.00,1266.05,1080.00,jacket,0.25
106,0,279.40,373.00,1265.92,1080.00,jacket,0.25
107,0,279.40,373.00,1265.80,1080.00,jacket,0.25
108,0,279.40,373.00,1265.80,1080.00,jacket,0.25
108,1,419.40,0.00,1636.22,1080.00,skirt,0
109,1,424.05,1.15,1636.22,1080.00,skirt,0
110,1,428.70,2.30,1636.22,1080.00,skirt,0
111,1,399.00,2.30,1636.22,1080.00,skirt,0
112,1,401.30,2.30,1636.22,1080.00,skirt,0
113,1,403.60,2.30,1636.22,1080.00,skirt,0
114,1,398.80,2.30,1636.22,1080.00,skirt,0
115,1,404.60,2.30,1636.22,1080.00,skirt,0
116,1,405.56,2.30,1636.22,1080.00,skirt,0
117,1,406.51,2.30,1636.22,1080.00,skirt,0
118,1,407.47,2.30,1636.22,1080.00,skirt,0
119,1,408.43,2.30,1636.22,1080.00,skirt,0
120,1,409.39,2.30,1636.22,1080.00,skirt,0
121,1,410.34,2.30,1636.22,1080.00,skirt,0
122,1,411.30,2.30,1636.22,1080.00,skirt,0
123,1,412.26,2.30,1636.22,1080.00,skirt,0
124,1,413.21,2.30,1636.22,1080.00,skirt,0
125,1,414.17,2.30,1636.22,1080.00,skirt,0
126,1,415.13,2.30,1636.22,1080.00,skirt,0
