frame,id,xtl,ytl,xbr,ybr,label,complexity
120,0,938.90,352.60,1043.80,558.10,shirt,0.5
121,0,934.60,359.10,1042.20,565.60,shirt,0.5
122,0,930.50,359.10,1039.00,568.80,shirt,0.5
123,0,931.50,365.60,1038.50,558.10,shirt,0.5
124,0,930.60,365.60,1038.50,558.10,shirt,0.5
125,0,930.60,365.60,1038.50,557.20,shirt,0.5
126,0,932.92,367.40,1040.76,559.86,shirt,0.5
127,0,935.23,364.00,1043.03,562.53,shirt,0.5
128,0,938.70,359.10,1045.80,557.40,shirt,0.5
129,0,939.00,359.60,1046.07,562.40,shirt,0.5
130,0,941.40,359.00,1046.35,564.20,shirt,0.5
131,0,940.65,360.00,1046.63,560.70,shirt,0.5
132,0,939.90,361.00,1046.90,557.20,shirt,0.5
133,0,942.70,366.60,1046.90,565.60,shirt,0.5
134,0,945.50,374.00,1050.60,577.50,shirt,0.5
135,0,945.50,378.50,1050.60,582.30,shirt,0.5
136,0,943.60,381.40,1050.60,584.70,shirt,0.5
137,0,946.20,384.20,1052.50,587.80,shirt,0.5
138,0,951.00,384.20,1052.50,587.00,shirt,0.5
139,0,951.00,384.20,1057.10,587.80,shirt,0.5
140,0,951.00,381.90,1057.10,580.90,shirt,0.5
141,0,951.00,376.60,1057.10,574.60,shirt,0.5
142,0,950.10,368.80,1057.10,562.30,shirt,0.5
143,0,950.10,362.90,1056.20,557.00,shirt,0.5
144,0,951.95,360.10,1057.40,557.30,shirt,0.5
145,0,953.80,357.30,1060.80,557.00,shirt,0.5
146,0,958.40,357.30,1062.40,562.20,shirt,0.5
147,0,962.30,360.20,1069.20,564.80,shirt,0.5
148,0,966.30,364.30,1072.90,571.30,shirt,0.5
149,0,964.00,367.50,1075.70,568.30,shirt,0.5
150,0,962.70,373.70,1075.70,572.20,shirt,0.5
151,0,961.20,376.60,1079.60,570.40,shirt,0.5
152,0,958.60,375.40,1075.70,568.30,shirt,0.5
153,0,954.80,374.20,1075.70,562.30,shirt,0.5
154,0,955.00,366.00,1082.20,554.90,shirt,0.5
155,0,951.00,358.40,1084.10,548.80,shirt,0.5
156,0,947.90,354.40,1093.40,542.90,shirt,0.5
157,0,948.20,352.70,1099.00,539.80,shirt,0.5
158,0,950.50,352.80,1108.30,537.70,shirt,0.5
159,0,951.00,350.30,1115.70,543.10,shirt,0.5
160,0,951.00,351.60,1118.50,559.90,shirt,0.5
161,0,948.20,357.80,1117.70,551.30,shirt,0.5
162,0,941.60,359.50,1113.30,553.90,shirt,0.5
163,0,936.20,360.60,1110.20,552.60,shirt,0.5
164,0,928.20,359.10,1106.50,551.80,shirt,0.5
165,0,926.00,356.90,1106.50,547.10,shirt,0.5
166,0,927.20,353.10,1113.00,545.50,shirt,0.5
167,0,928.50,346.60,1112.65,541.13,shirt,0.5
168,0,932.20,344.00,1119.50,537.50,shirt,0.5
169,0,936.50,341.80,1125.60,534.00,shirt,0.5
170,0,935.00,341.90,1126.00,532.20,shirt,0.5
171,0,937.60,344.20,1128.80,538.20,shirt,0.5
172,0,941.40,346.70,1133.40,542.60,shirt,0.5
173,0,940.30,352.40,1134.35,546.40,shirt,0.5
174,0,942.80,358.50,1135.30,555.70,shirt,0.5
175,0,942.80,357.24,1135.30,552.60,shirt,0.5
120,1,888.80,541.50,1095.16,845.30,trouser,0.5
121,1,884.90,545.60,1109.10,849.00,trouser,0.5
122,1,886.90,544.50,1116.50,852.30,trouser,0.5
123,1,892.50,552.30,1121.10,854.20,trouser,0.5
124,1,898.10,550.00,1111.90,854.60,trouser,0.5
125,1,904.60,548.80,1094.20,854.60,trouser,0.5
126,1,915.80,548.80,1077.50,854.60,trouser,0.5
127,1,927.90,544.90,1059.60,857.80,trouser,0.5
128,1,915.60,546.50,1039.70,859.60,trouser,0.5
129,1,904.90,545.30,1040.30,859.10,trouser,0.5
130,1,899.80,548.70,1058.70,857.60,trouser,0.5
131,1,900.00,548.80,1078.10,853.30,trouser,0.5
132,1,904.60,548.80,1095.20,853.70,trouser,0.5
133,1,891.60,548.80,1110.90,851.60,trouser,0.5
134,1,883.60,558.80,1122.20,851.10,trouser,0.5
135,1,891.60,563.60,1142.10,856.80,trouser,0.5
136,1,900.50,568.20,1153.80,859.60,trouser,0.5
137,1,907.90,572.20,1152.90,859.00,trouser,0.5
138,1,911.70,574.00,1140.80,859.50,trouser,0.5
139,1,920.40,574.30,1123.90,857.20,trouser,0.5
140,1,934.20,574.00,1103.60,857.20,trouser,0.5
141,1,941.80,566.20,1084.10,851.40,trouser,0.5
142,1,938.10,553.00,1064.00,846.00,trouser,0.5
143,1,926.00,548.70,1045.00,830.20,trouser,0.5
144,1,923.20,542.70,1067.30,833.30,trouser,0.5
145,1,927.97,542.60,1088.87,839.29,trouser,0.5
146,1,935.40,545.60,1109.20,847.30,trouser,0.5
147,1,922.00,543.80,1128.70,848.70,trouser,0.5
148,1,917.60,555.00,1141.70,850.00,trouser,0.5
149,1,923.30,558.10,1150.90,852.80,trouser,0.5
150,1,926.80,556.50,1150.10,857.40,trouser,0.5
151,1,928.80,555.70,1134.30,850.70,trouser,0.5
152,1,931.00,552.90,1112.30,850.70,trouser,0.5
153,1,939.70,547.50,1088.10,851.30,trouser,0.5
154,1,942.00,538.00,1069.00,845.50,trouser,0.5
155,1,927.50,534.70,1045.90,838.40,trouser,0.5
156,1,918.60,530.10,1062.60,834.20,trouser,0.5
157,1,918.60,525.40,1083.60,830.90,trouser,0.5
158,1,929.00,525.40,1109.80,824.20,trouser,0.5
159,1,930.50,527.00,1129.60,822.70,trouser,0.5
160,1,914.90,542.20,1148.20,820.30,trouser,0.5
161,1,907.90,534.40,1166.30,824.50,trouser,0.5
162,1,911.00,538.50,1175.70,826.50,trouser,0.5
163,1,915.50,554.10,1180.50,830.90,trouser,0.5
164,1,917.80,535.80,1177.00,827.90,trouser,0.5
165,1,926.00,536.60,1170.80,825.00,trouser,0.5
166,1,939.00,534.90,1156.60,824.10,trouser,0.5
167,1,954.30,531.00,1146.70,821.00,trouser,0.5
168,1,960.70,525.60,1133.20,818.10,trouser,0.5
169,1,968.70,518.60,1113.90,817.10,trouser,0.5
170,1,975.20,518.70,1088.50,814.90,trouser,0.5
171,1,983.60,523.60,1088.40,821.40,trouser,0.5
172,1,989.20,527.50,1113.90,828.60,trouser,0.5
173,1,993.00,533.00,1129.60,832.60,trouser,0.5
174,1,978.00,538.50,1146.20,838.60,trouser,0.5
175,1,978.00,538.50,1145.40,838.80,trouser,0.5
175,2,941.80,363.90,1133.60,608.30,jacket,0.5
176,2,936.20,366.60,1133.60,608.30,jacket,0.5
177,2,936.20,363.80,1141.20,604.40,jacket,0.5
178,2,932.90,362.70,1151.30,602.20,jacket,0.5
179,2,935.10,355.40,1160.60,599.00,jacket,0.5
180,2,936.20,351.70,1172.70,593.60,jacket,0.5
181,2,936.20,343.40,1175.50,586.00,jacket,0.5
182,2,933.90,341.10,1177.80,580.90,jacket,0.5
183,2,927.90,340.60,1175.50,581.30,jacket,0.5
184,2,925.10,340.60,1171.90,577.60,jacket,0.5
185,2,921.30,340.60,1166.20,577.60,jacket,0.5
186,2,918.60,344.30,1160.60,580.40,jacket,0.5
187,2,918.60,345.90,1155.00,582.20,jacket,0.5
188,2,918.60,347.20,1147.60,583.10,jacket,0.5
189,2,921.40,352.10,1143.90,607.30,jacket,0.5
190,2,925.10,353.60,1143.90,597.00,jacket,0.5
191,2,930.70,353.60,1147.60,601.60,jacket,0.5
192,2,933.50,353.60,1143.90,601.60,jacket,0.5
193,2,939.10,338.50,1143.90,601.60,jacket,0.5
194,2,947.50,339.70,1141.10,599.50,jacket,0.5
195,2,954.90,339.70,1133.40,595.10,jacket,0.5
196,2,962.30,342.80,1134.60,594.20,jacket,0.5
197,2,967.90,343.40,1128.10,594.20,jacket,0.5
198,2,970.70,355.40,1119.70,588.10,jacket,0.5
199,2,978.50,360.90,1111.30,595.40,jacket,0.5
200,2,975.30,368.40,1105.70,594.20,jacket,0.5
201,2,975.30,369.40,1103.80,601.60,jacket,0.5
202,2,975.30,375.00,1101.90,601.60,jacket,0.5
203,2,975.30,378.00,1101.90,619.30,jacket,0.5
204,2,966.00,383.60,1101.90,631.10,jacket,0.5
205,2,960.40,381.50,1100.00,637.70,jacket,0.5
206,2,961.00,381.50,1101.85,638.70,jacket,0.5
207,2,964.10,381.50,1103.70,638.70,jacket,0.5
208,2,967.80,378.40,1107.50,636.80,jacket,0.5
209,2,976.20,379.60,1112.30,636.00,jacket,0.5
210,2,974.30,379.60,1112.40,636.00,jacket,0.5
211,2,969.70,379.60,1108.40,637.10,jacket,0.5
212,2,954.80,385.20,1106.50,643.40,jacket,0.5
213,2,954.80,386.10,1106.50,649.80,jacket,0.5
214,2,954.80,391.70,1105.40,649.00,jacket,0.5
215,2,954.80,391.70,1106.50,655.40,jacket,0.5
216,2,954.80,391.70,1103.70,661.90,jacket,0.5
217,2,958.60,391.70,1101.80,663.90,jacket,0.5
218,2,958.60,391.70,1099.90,658.30,jacket,0.5
219,2,954.00,389.50,1096.20,651.80,jacket,0.5
220,2,949.40,386.10,1091.60,647.20,jacket,0.5
221,2,952.20,386.10,1083.20,647.20,jacket,0.5
222,2,952.20,383.30,1082.30,637.00,jacket,0.5
223,2,955.90,376.90,1082.30,637.00,jacket,0.5
224,2,953.10,383.30,1077.60,630.50,jacket,0.5
225,2,948.50,383.30,1084.10,630.50,jacket,0.5
226,2,940.10,397.30,1084.10,636.10,jacket,0.5
227,2,931.30,399.50,1084.10,641.70,jacket,0.5
228,2,933.80,403.80,1084.10,648.10,jacket,0.5
229,2,937.70,407.10,1081.90,656.60,jacket,0.5
230,2,957.70,410.40,1081.90,664.40,jacket,0.5
231,2,957.70,410.30,1084.10,656.60,jacket,0.5
175,3,930.60,572.10,1200.21,867.60,trouser,0.5
176,3,930.60,569.30,1196.50,867.60,trouser,0.5
177,3,930.60,568.40,1184.40,860.20,trouser,0.5
178,3,946.40,565.60,1173.20,860.20,trouser,0.5
179,3,957.60,560.30,1159.30,860.20,trouser,0.5
180,3,967.80,554.40,1142.60,853.70,trouser,0.5
181,3,970.60,550.70,1124.90,849.10,trouser,0.5
182,3,977.90,547.00,1088.70,853.70,trouser,0.5
183,3,981.80,541.40,1110.00,850.90,trouser,0.5
184,3,986.40,538.60,1124.90,850.90,trouser,0.5
185,3,970.60,535.80,1139.80,850.90,trouser,0.5
186,3,952.90,536.70,1155.50,850.90,trouser,0.5
187,3,945.50,543.10,1167.60,851.80,trouser,0.5
188,3,954.35,542.60,1168.60,851.80,trouser,0.5
189,3,963.20,565.10,1154.60,858.00,trouser,0.5
190,3,969.70,558.20,1136.00,851.80,trouser,0.5
191,3,969.70,560.20,1119.30,853.10,trouser,0.5
192,3,956.70,560.90,1099.80,854.10,trouser,0.5
193,3,952.10,544.80,1100.10,851.80,trouser,0.5
194,3,950.20,546.90,1105.10,858.20,trouser,0.5
195,3,946.50,545.80,1114.70,860.40,trouser,0.5
196,3,954.90,540.50,1134.20,855.50,trouser,0.5
197,3,944.60,546.60,1152.80,855.50,trouser,0.5
198,3,923.20,554.10,1164.90,859.80,trouser,0.5
199,3,912.00,563.70,1177.50,867.30,trouser,0.5
200,3,930.60,557.30,1189.10,879.70,trouser,0.5
201,3,939.90,563.70,1196.50,879.70,trouser,0.5
202,3,949.20,563.70,1200.20,879.70,trouser,0.5
203,3,953.80,575.80,1191.80,879.70,trouser,0.5
204,3,962.20,575.80,1177.90,886.20,trouser,0.5
205,3,971.50,579.40,1158.40,886.20,trouser,0.5
206,3,985.40,579.40,1137.90,886.20,trouser,0.5
207,3,972.40,585.80,1115.60,889.40,trouser,0.5
208,3,964.00,575.10,1102.60,873.20,trouser,0.5
209,3,959.40,582.60,1127.70,889.10,trouser,0.5
210,3,959.40,581.50,1144.40,893.70,trouser,0.5
211,3,949.20,585.80,1158.30,898.30,trouser,0.5
212,3,919.50,583.70,1174.10,903.90,trouser,0.5
213,3,911.10,594.40,1187.10,903.90,trouser,0.5
214,3,922.30,594.40,1198.30,903.90,trouser,0.5
215,3,940.00,594.40,1198.30,903.90,trouser,0.5
216,3,942.80,594.40,1184.40,903.90,trouser,0.5
217,3,946.50,594.40,1164.90,913.50,trouser,0.5
218,3,962.30,594.40,1146.30,912.50,trouser,0.5
219,3,969.70,594.40,1120.30,903.90,trouser,0.5
220,3,954.80,583.70,1097.10,903.90,trouser,0.5
221,3,943.60,594.40,1093.40,914.60,trouser,0.5
222,3,935.20,582.60,1109.70,913.50,trouser,0.5
223,3,935.20,579.40,1127.80,903.90,trouser,0.5
224,3,929.60,582.60,1150.10,903.90,trouser,0.5
225,3,902.60,582.60,1167.80,903.90,trouser,0.5
226,3,898.90,589.00,1181.70,903.90,trouser,0.5
227,3,906.70,594.40,1191.00,907.20,trouser,0.5
228,3,921.20,594.40,1191.00,916.00,trouser,0.5
229,3,926.20,594.40,1181.70,916.00,trouser,0.5
230,3,928.60,594.40,1165.10,916.00,trouser,0.5
231,3,928.60,594.40,1164.00,916.00,trouser,0.5
231,4,967.80,400.50,1061.90,634.14,shirt,0.5
232,4,969.30,404.50,1064.80,634.15,shirt,0.5
233,4,969.33,409.62,1065.33,636.47,shirt,0.5
234,4,968.60,412.10,1062.90,634.14,shirt,0.5
235,4,965.00,410.60,1064.70,633.40,shirt,0.5
236,4,962.80,408.00,1060.80,634.14,shirt,0.5
237,4,964.40,404.20,1062.30,629.90,shirt,0.5
238,4,966.90,400.40,1065.80,634.14,shirt,0.5
239,4,971.40,392.60,1069.20,625.60,shirt,0.5
240,4,968.40,386.20,1071.50,624.50,shirt,0.5
241,4,971.60,382.30,1074.40,617.60,shirt,0.5
242,4,977.10,379.50,1075.20,608.40,shirt,0.5
243,4,981.00,379.50,1076.70,605.50,shirt,0.5
244,4,975.20,379.50,1077.60,618.30,shirt,0.5
245,4,975.20,382.10,1078.20,617.40,shirt,0.5
246,4,975.20,384.10,1077.60,617.40,shirt,0.5
247,4,968.70,384.10,1077.60,627.00,shirt,0.5
248,4,967.80,388.70,1074.20,621.70,shirt,0.5
249,4,966.70,390.60,1071.10,617.40,shirt,0.5
250,4,968.75,390.00,1069.40,617.40,shirt,0.5
251,4,974.70,388.70,1068.80,621.70,shirt,0.5
252,4,975.80,382.50,1075.70,617.40,shirt,0.5
253,4,977.10,377.50,1088.40,617.60,shirt,0.5
254,4,982.70,372.90,1084.10,611.80,shirt,0.5
255,4,986.60,371.20,1085.40,609.00,shirt,0.5
256,4,991.10,369.90,1086.90,603.40,shirt,0.5
257,4,991.80,369.90,1086.90,608.30,shirt,0.5
258,4,991.10,373.20,1084.50,604.40,shirt,0.5
259,4,989.20,374.90,1090.60,608.40,shirt,0.5
260,4,991.80,379.10,1091.60,609.10,shirt,0.5
261,4,993.10,383.30,1095.20,613.00,shirt,0.5
262,4,991.80,385.20,1094.30,610.70,shirt,0.5
263,4,991.10,384.60,1091.10,612.80,shirt,0.5
264,4,992.00,380.60,1089.80,607.20,shirt,0.5
265,4,992.60,376.00,1092.40,603.50,shirt,0.5
266,4,992.00,367.30,1090.00,601.60,shirt,0.5
267,4,989.30,358.80,1089.90,596.10,shirt,0.5
268,4,991.90,350.60,1087.90,565.40,shirt,0.5
269,4,991.50,344.20,1084.60,574.70,shirt,0.5
270,4,989.90,341.10,1085.00,574.70,shirt,0.5
271,4,989.20,341.60,1082.20,570.80,shirt,0.5
272,4,992.40,342.10,1090.40,571.00,shirt,0.5
273,4,992.40,345.80,1090.70,578.70,shirt,0.5
274,4,991.10,350.00,1098.10,584.60,shirt,0.5
275,4,989.20,352.60,1104.50,582.30,shirt,0.5
276,4,990.70,356.50,1098.70,583.10,shirt,0.5
277,4,989.18,359.73,1090.48,596.73,shirt,0.5
278,4,992.90,358.10,1091.80,587.70,shirt,0.5
279,4,992.90,353.00,1092.10,583.00,shirt,0.5
280,4,985.80,348.20,1090.20,588.50,shirt,0.5
281,4,988.80,343.50,1088.90,581.40,shirt,0.5
282,4,989.00,340.70,1086.90,578.40,shirt,0.5
283,4,992.20,340.90,1087.80,579.30,shirt,0.5
284,4,998.60,344.50,1092.00,581.20,shirt,0.5
285,4,1002.20,349.30,1094.30,587.70,shirt,0.5
286,4,1003.50,357.50,1094.70,587.50,shirt,0.5
287,4,1001.20,362.90,1092.60,593.50,shirt,0.5
288,4,1001.20,366.80,1095.20,587.70,shirt,0.5
231,5,934.70,613.70,1124.00,892.60,trouser,0.5
232,5,914.80,614.60,1139.80,896.30,trouser,0.5
233,5,904.60,614.60,1155.60,898.20,trouser,0.5
234,5,913.90,612.80,1164.00,898.20,trouser,0.5
235,5,922.30,612.80,1164.00,898.20,trouser,0.5
236,5,922.30,613.70,1150.10,898.20,trouser,0.5
237,5,930.70,610.00,1136.20,898.20,trouser,0.5
238,5,947.40,614.60,1120.40,898.20,trouser,0.5
239,5,964.40,611.90,1104.00,891.70,trouser,0.5
240,5,957.60,612.80,1086.00,891.70,trouser,0.5
241,5,950.20,612.80,1087.90,887.10,trouser,0.5
242,5,947.40,604.40,1104.60,883.10,trouser,0.5
243,5,949.30,590.50,1124.80,877.90,trouser,0.5
244,5,953.90,597.00,1143.70,877.80,trouser,0.5
245,5,936.20,595.80,1161.40,873.70,trouser,0.5
246,5,925.00,597.00,1173.50,871.50,trouser,0.5
247,5,925.00,606.80,1180.90,874.80,trouser,0.5
248,5,933.40,601.60,1178.10,873.10,trouser,0.5
249,5,933.40,597.00,1171.80,874.20,trouser,0.5
250,5,939.00,597.90,1160.40,873.10,trouser,0.5
251,5,952.00,602.60,1142.70,873.10,trouser,0.5
252,5,971.50,597.00,1127.80,871.00,trouser,0.5
253,5,971.50,600.70,1108.30,867.50,trouser,0.5
254,5,960.30,593.30,1090.60,867.50,trouser,0.5
255,5,954.70,593.30,1113.00,858.90,trouser,0.5
256,5,954.70,579.70,1129.70,871.10,trouser,0.5
257,5,961.20,590.50,1152.90,867.50,trouser,0.5
258,5,938.90,588.20,1159.40,870.30,trouser,0.5
259,5,923.10,590.40,1179.90,870.30,trouser,0.5
260,5,930.60,588.70,1195.70,874.00,trouser,0.5
261,5,942.70,591.40,1203.10,874.00,trouser,0.5
262,5,952.00,590.50,1197.50,876.80,trouser,0.5
263,5,952.00,593.30,1181.70,876.80,trouser,0.5
264,5,963.20,587.70,1164.00,876.80,trouser,0.5
265,5,980.90,586.80,1142.60,876.80,trouser,0.5
266,5,979.00,581.20,1117.50,876.80,trouser,0.5
267,5,966.50,575.10,1104.20,870.30,trouser,0.5
268,5,958.50,547.80,1113.70,861.90,trouser,0.5
269,5,958.50,552.40,1134.20,849.80,trouser,0.5
270,5,959.40,551.40,1154.60,844.20,trouser,0.5
271,5,941.70,547.70,1176.00,839.60,trouser,0.5
272,5,930.50,550.50,1190.90,832.20,trouser,0.5
273,5,934.20,559.80,1204.80,838.70,trouser,0.5
274,5,944.40,562.60,1209.40,841.50,trouser,0.5
275,5,956.50,561.70,1205.70,846.10,trouser,0.5
276,5,956.50,562.20,1195.50,850.40,trouser,0.5
277,5,962.08,566.30,1173.10,846.10,trouser,0.5
278,5,975.10,570.00,1156.40,850.40,trouser,0.5
279,5,985.40,564.50,1136.50,846.10,trouser,0.5
280,5,973.40,569.10,1110.80,846.10,trouser,0.5
281,5,960.30,560.70,1095.00,832.20,trouser,0.5
282,5,954.70,556.10,1126.60,830.30,trouser,0.5
283,5,958.40,557.50,1146.10,836.00,trouser,0.5
284,5,958.40,559.80,1169.30,847.10,trouser,0.5
285,5,938.00,564.40,1187.90,853.60,trouser,0.5
286,5,932.40,565.40,1201.80,859.20,trouser,0.5
287,5,943.60,573.80,1213.00,862.20,trouser,0.5
288,5,943.60,561.70,1213.00,867.60,trouser,0.5
288,6,973.30,360.80,1083.00,602.50,shirt,0.5
289,6,973.30,368.20,1083.00,609.00,shirt,0.5
290,6,962.10,371.90,1075.60,614.60,shirt,0.5
291,6,949.10,373.50,1070.00,618.30,shirt,0.5
292,6,959.40,371.90,1067.80,617.20,shirt,0.5
293,6,968.60,365.70,1063.60,610.90,shirt,0.5
294,6,955.50,354.80,1068.20,600.90,shirt,0.5
295,6,964.90,347.50,1072.70,590.90,shirt,0.5
296,6,973.70,339.90,1076.80,583.10,shirt,0.5
297,6,976.20,336.60,1082.00,580.40,shirt,0.5
298,6,979.50,338.80,1086.80,579.40,shirt,0.5
299,6,983.60,343.00,1090.10,585.30,shirt,0.5
300,6,980.70,348.70,1095.20,589.50,shirt,0.5
301,6,978.00,353.70,1097.90,593.60,shirt,0.5
302,6,976.40,357.60,1095.20,597.70,shirt,0.5
303,6,974.20,358.70,1094.30,598.30,shirt,0.5
304,6,971.40,358.10,1091.10,597.70,shirt,0.5
305,6,971.40,354.30,1093.40,598.80,shirt,0.5
306,6,977.90,354.30,1094.30,589.10,shirt,0.5
307,6,983.50,345.20,1098.50,590.40,shirt,0.5
308,6,993.50,340.30,1107.30,575.90,shirt,0.5
309,6,996.40,331.20,1112.40,590.40,shirt,0.5
310,6,1009.60,330.10,1115.70,574.70,shirt,0.5
311,6,1008.60,329.00,1120.60,576.40,shirt,0.5
312,6,1009.90,332.40,1123.80,576.10,shirt,0.5
313,6,1005.10,338.90,1125.50,581.30,shirt,0.5
314,6,1001.70,345.70,1128.70,587.60,shirt,0.5
315,6,998.90,355.30,1129.80,590.80,shirt,0.5
316,6,995.60,355.20,1136.10,591.40,shirt,0.5
317,6,993.30,355.20,1140.70,592.50,shirt,0.5
318,6,993.30,355.20,1144.40,588.60,shirt,0.5
319,6,991.00,351.30,1150.90,588.60,shirt,0.5
320,6,990.50,352.40,1155.55,587.70,shirt,0.5
321,6,986.90,342.80,1163.90,578.90,shirt,0.5
322,6,983.50,334.20,1168.50,572.20,shirt,0.5
323,6,981.30,333.90,1171.50,565.90,shirt,0.5
324,6,981.70,332.00,1177.70,565.40,shirt,0.5
325,6,983.60,333.30,1185.10,568.00,shirt,0.5
326,6,985.50,337.50,1192.50,563.50,shirt,0.5
327,6,991.10,332.40,1200.90,579.30,shirt,0.5
328,6,998.50,336.60,1207.40,584.10,shirt,0.5
329,6,1003.20,341.20,1211.10,584.80,shirt,0.5
330,6,1007.40,348.20,1211.10,586.20,shirt,0.5
331,6,1010.60,351.40,1211.10,580.20,shirt,0.5
332,6,1014.37,334.50,1211.10,584.10,shirt,0.5
333,6,1015.30,332.20,1211.10,579.60,shirt,0.5
334,6,1013.90,325.80,1211.10,577.60,shirt,0.5
335,6,1017.20,321.70,1213.00,570.90,shirt,0.5
336,6,1022.00,316.60,1212.90,564.40,shirt,0.5
337,6,1026.40,309.40,1216.60,561.60,shirt,0.5
338,6,1029.10,312.90,1214.70,557.30,shirt,0.5
